2114 1 0
2114 2 0
2114 1 0
802 3 0
802 1 0
802 1 0
802 3 0
802 1 0
802 2 0
802 2 0
802 2 0
802 1 0
802 1 0
802 1 0
802 1 0
802 1 0
802 3 0
802 3 0
802 3 0
802 3 0
802 3 0
802 3 0
802 3 0
802 3 0
802 3 0
802 3 0
394 1 0
394 2 0
1241 2 0
1241 2 0
1241 2 0
1241 2 0
1241 2 0
1241 2 0
1241 1 0
1241 3 0
1241 3 0
1241 3 0
1241 3 0
1241 3 0
1570 2 0
1570 2 0
1570 2 0
1570 2 0
1570 2 0
1570 2 0
1570 2 0
1570 1 0
1570 1 0
1570 1 0
1570 1 0
1570 1 0
1570 3 0
1570 3 0
1570 3 0
1570 3 0
1570 3 0
1570 3 0
1570 3 0
1570 3 0
1570 3 0
1570 3 0
2155 2 0
1623 2 0
1623 1 0
1623 3 0
1623 3 0
1623 3 0
1623 1 0
1623 1 0
1623 2 0
1623 2 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 1 0
1623 3 0
208 1 0
208 2 0
208 2 0
208 1 0
208 3 0
208 1 0
208 1 0
208 2 0
208 2 0
208 2 0
208 1 0
208 1 0
208 1 0
208 1 0
208 1 0
208 1 0
564 1 0
564 2 0
564 1 0
2057 3 0
2057 1 0
2057 2 0
2057 2 0
2057 2 0
2057 2 0
2057 1 0
1239 3 0
1239 3 0
58 1 0
58 3 0
58 3 0
58 2 0
58 1 0
58 2 0
58 1 0
58 1 0
58 1 0
58 1 0
58 1 0
500 1 0
500 1 0
500 2 0
500 1 0
500 1 0
500 1 0
1932 1 0
1932 1 0
462 1 0
462 1 0
462 1 0
462 1 0
462 1 0
462 1 0
462 1 0
462 1 0
1076 1 0
1671 1 0
1671 1 0
1671 1 0
1671 1 0
1671 1 0
1671 1 0
1671 2 0
1671 1 0
1671 1 0
1671 1 0
1671 1 0
1671 1 0
1688 2 0
1688 2 0
